0728|BURR/HB/16 COFF|321|M COFFEE|1
0728|BURR/HB/16 COFF|600|BURR NO CHS|1
0731|SCRM EGG(2)/HB/HM|30|SCRAMBLED EGGS|1
0731|SCRM EGG(2)/HB/HM|35|HASH BROWN|1
0731|SCRM EGG(2)/HB/HM|66|MILK|1
0731|SCRM EGG(2)/HB/HM|800|TOY-GENERIC HM|1
0735|BCN CLBHS SSM-QTR ML|21|21 OZ GENERIC DRK|1
0735|BCN CLBHS SSM-QTR ML|734|BCN CLBHS SSM-QTR|1
0735|BCN CLBHS SSM-QTR ML|8932|M FRENCH FRIES|1
0736|SAUS BURR/HB/ML|24|S COFFEE|1
0736|SAUS BURR/HB/ML|35|HASH BROWN|1
